Row (Condensed DOF),Column (Condensed DOF),K Value
0,0,4.401600000000e+09
0,6,-2.200800000000e+09
1,1,1.414800000000e+09
1,5,0.000000000000e+00
1,7,-7.074000000000e+08
1,11,4.421250000000e+07
2,2,1.414800000000e+09
2,4,0.000000000000e+00
2,8,-7.074000000000e+08
2,10,-4.421250000000e+07
3,3,3.378322080000e+04
3,9,-1.689161040000e+04
4,2,0.000000000000e+00
4,4,6.613186500000e+06
4,8,4.421250000000e+07
4,10,2.219969250000e+06
5,1,0.000000000000e+00
5,5,1.254120090000e+07
5,7,-4.421250000000e+07
5,11,-7.440379500000e+05
6,0,-2.200800000000e+09
6,6,4.401600000000e+09
6,12,-2.200800000000e+09
7,1,-7.074000000000e+08
7,5,-4.421250000000e+07
7,7,1.414800000000e+09
7,11,0.000000000000e+00
7,13,-7.074000000000e+08
7,17,4.421250000000e+07
8,2,-7.074000000000e+08
8,4,4.421250000000e+07
8,8,1.414800000000e+09
8,10,0.000000000000e+00
8,14,-7.074000000000e+08
8,16,-4.421250000000e+07
9,3,-1.689161040000e+04
9,9,3.378322080000e+04
9,15,-1.689161040000e+04
10,2,-4.421250000000e+07
10,4,2.219969250000e+06
10,8,0.000000000000e+00
10,10,6.613186500000e+06
10,14,4.421250000000e+07
10,16,2.219969250000e+06
11,1,4.421250000000e+07
11,5,-7.440379500000e+05
11,7,0.000000000000e+00
11,11,1.254120090000e+07
11,13,-4.421250000000e+07
11,17,-7.440379500000e+05
12,6,-2.200800000000e+09
12,12,4.401600000000e+09
12,18,-2.200800000000e+09
13,7,-7.074000000000e+08
13,11,-4.421250000000e+07
13,13,1.414800000000e+09
13,17,0.000000000000e+00
13,19,-7.074000000000e+08
13,23,4.421250000000e+07
14,8,-7.074000000000e+08
14,10,4.421250000000e+07
14,14,1.414800000000e+09
14,16,0.000000000000e+00
14,20,-7.074000000000e+08
14,22,-4.421250000000e+07
15,9,-1.689161040000e+04
15,15,3.378322080000e+04
15,21,-1.689161040000e+04
16,8,-4.421250000000e+07
16,10,2.219969250000e+06
16,14,0.000000000000e+00
