Row (Global DOF),Column (Global DOF),K Value
0,0,8.803200000000e+09
0,6,-8.803200000000e+09
1,1,1.723917533184e+11
1,5,2.693621145600e+09
1,7,-1.723917533184e+11
1,11,2.693621145600e+09
2,2,2.670487142400e+10
2,4,-4.172636160000e+08
2,8,-2.670487142400e+10
2,10,-4.172636160000e+08
3,3,6.756644160000e+04
3,9,-6.756644160000e+04
4,2,-4.172636160000e+08
4,4,8.692992000000e+06
4,8,4.172636160000e+08
4,10,4.346496000000e+06
5,1,2.693621145600e+09
5,5,5.611710720000e+07
5,7,-2.693621145600e+09
5,11,2.805855360000e+07
6,0,-8.803200000000e+09
6,6,1.760640000000e+10
6,12,-8.803200000000e+09
7,1,-1.723917533184e+11
7,5,-2.693621145600e+09
7,7,3.447835066368e+11
7,11,0.000000000000e+00
7,13,-1.723917533184e+11
7,17,2.693621145600e+09
8,2,-2.670487142400e+10
8,4,4.172636160000e+08
8,8,5.340974284800e+10
8,10,0.000000000000e+00
8,14,-2.670487142400e+10
8,16,-4.172636160000e+08
9,3,-6.756644160000e+04
9,9,1.351328832000e+05
9,15,-6.756644160000e+04
10,2,-4.172636160000e+08
10,4,4.346496000000e+06
10,8,0.000000000000e+00
10,10,1.738598400000e+07
10,14,4.172636160000e+08
10,16,4.346496000000e+06
11,1,2.693621145600e+09
11,5,2.805855360000e+07
11,7,0.000000000000e+00
11,11,1.122342144000e+08
11,13,-2.693621145600e+09
11,17,2.805855360000e+07
12,6,-8.803200000000e+09
12,12,1.760640000000e+10
12,18,-8.803200000000e+09
13,7,-1.723917533184e+11
13,11,-2.693621145600e+09
13,13,3.447835066368e+11
13,17,0.000000000000e+00
13,19,-1.723917533184e+11
13,23,2.693621145600e+09
14,8,-2.670487142400e+10
14,10,4.172636160000e+08
14,14,5.340974284800e+10
14,16,0.000000000000e+00
14,20,-2.670487142400e+10
14,22,-4.172636160000e+08
15,9,-6.756644160000e+04
15,15,1.351328832000e+05
15,21,-6.756644160000e+04
16,8,-4.172636160000e+08
16,10,4.346496000000e+06
16,14,0.000000000000e+00
16,16,1.738598400000e+07
16,20,4.172636160000e+08
