sigma1,sigma2,sigma3
8.946507461317e+02,-2.385850796430e+02,-8.946507461317e+02
3.122409183718e+02,-2.385850796430e+02,-3.122409183718e+02
2.701689093880e+02,-2.385850796430e+02,-2.701689093880e+02
