element_id,element_type
0,Timoshenko-3D
1,Timoshenko-3D
2,Timoshenko-3D
3,Timoshenko-3D
4,Timoshenko-3D
5,Timoshenko-3D
6,Timoshenko-3D
7,Timoshenko-3D
8,Timoshenko-3D
9,Timoshenko-3D
10,Timoshenko-3D
11,Timoshenko-3D
12,Timoshenko-3D
13,Timoshenko-3D
14,Timoshenko-3D
15,Timoshenko-3D
16,Timoshenko-3D
17,Timoshenko-3D
18,Timoshenko-3D
19,Timoshenko-3D
20,Timoshenko-3D
21,Timoshenko-3D
22,Timoshenko-3D
23,Timoshenko-3D
24,Timoshenko-3D
25,Timoshenko-3D
26,Timoshenko-3D
27,Timoshenko-3D
28,Timoshenko-3D
29,Timoshenko-3D
30,Timoshenko-3D
31,Timoshenko-3D
