Row (Condensed DOF),Column (Condensed DOF),K Value
0,0,2.200800000000e+09
0,6,-1.100400000000e+09
1,1,7.074000000000e+08
1,5,0.000000000000e+00
1,7,-3.537000000000e+08
1,11,4.421250000000e+07
2,2,7.074000000000e+08
2,4,0.000000000000e+00
2,8,-3.537000000000e+08
2,10,-4.421250000000e+07
3,3,1.689161040000e+04
3,9,-8.445805200000e+03
4,2,0.000000000000e+00
4,4,1.159643700000e+07
4,8,4.421250000000e+07
4,10,5.254906500000e+06
5,1,0.000000000000e+00
5,5,1.456044420000e+07
5,7,-4.421250000000e+07
5,11,3.772902900000e+06
6,0,-1.100400000000e+09
6,6,2.200800000000e+09
6,12,-1.100400000000e+09
7,1,-3.537000000000e+08
7,5,-4.421250000000e+07
7,7,7.074000000000e+08
7,11,0.000000000000e+00
7,13,-3.537000000000e+08
7,17,4.421250000000e+07
8,2,-3.537000000000e+08
8,4,4.421250000000e+07
8,8,7.074000000000e+08
8,10,0.000000000000e+00
8,14,-3.537000000000e+08
8,16,-4.421250000000e+07
9,3,-8.445805200000e+03
9,9,1.689161040000e+04
9,15,-8.445805200000e+03
10,2,-4.421250000000e+07
10,4,5.254906500000e+06
10,8,0.000000000000e+00
10,10,1.159643700000e+07
10,14,4.421250000000e+07
10,16,5.254906500000e+06
11,1,4.421250000000e+07
11,5,3.772902900000e+06
11,7,0.000000000000e+00
11,11,1.456044420000e+07
11,13,-4.421250000000e+07
11,17,3.772902900000e+06
12,6,-1.100400000000e+09
12,12,2.200800000000e+09
12,18,-1.100400000000e+09
13,7,-3.537000000000e+08
13,11,-4.421250000000e+07
13,13,7.074000000000e+08
13,17,0.000000000000e+00
13,19,-3.537000000000e+08
13,23,4.421250000000e+07
14,8,-3.537000000000e+08
14,10,4.421250000000e+07
14,14,7.074000000000e+08
14,16,0.000000000000e+00
14,20,-3.537000000000e+08
14,22,-4.421250000000e+07
15,9,-8.445805200000e+03
15,15,1.689161040000e+04
15,21,-8.445805200000e+03
16,8,-4.421250000000e+07
16,10,5.254906500000e+06
16,14,0.000000000000e+00
16,16,1.159643700000e+07
16,20,4.421250000000e+07
16,22,5.254906500000e+06
17,7,4.421250000000e+07
17,11,3.772902900000e+06
17,13,0.000000000000e+00
17,17,1.456044420000e+07
17,19,-4.421250000000e+07
17,23,3.772902900000e+06
18,12,-1.100400000000e+09
18,18,2.200800000000e+09
18,24,-1.100400000000e+09
19,13,-3.537000000000e+08
19,17,-4.421250000000e+07
19,19,7.074000000000e+08
19,23,0.000000000000e+00
19,25,-3.537000000000e+08
19,29,4.421250000000e+07
20,14,-3.537000000000e+08
20,16,4.421250000000e+07
20,20,7.074000000000e+08
20,22,0.000000000000e+00
20,26,-3.537000000000e+08
20,28,-4.421250000000e+07
21,15,-8.445805200000e+03
21,21,1.689161040000e+04
21,27,-8.445805200000e+03
22,14,-4.421250000000e+07
22,16,5.254906500000e+06
22,20,0.000000000000e+00
22,22,1.159643700000e+07
22,26,4.421250000000e+07
22,28,5.254906500000e+06
23,13,4.421250000000e+07
23,17,3.772902900000e+06
23,19,0.000000000000e+00
23,23,1.456044420000e+07
23,25,-4.421250000000e+07
23,29,3.772902900000e+06
24,18,-1.100400000000e+09
24,24,2.200800000000e+09
24,30,-1.100400000000e+09
25,19,-3.537000000000e+08
25,23,-4.421250000000e+07
25,25,7.074000000000e+08
25,29,0.000000000000e+00
25,31,-3.537000000000e+08
25,35,4.421250000000e+07
26,20,-3.537000000000e+08
26,22,4.421250000000e+07
26,26,7.074000000000e+08
26,28,0.000000000000e+00
26,32,-3.537000000000e+08
26,34,-4.421250000000e+07
27,21,-8.445805200000e+03
27,27,1.689161040000e+04
27,33,-8.445805200000e+03
28,20,-4.421250000000e+07
28,22,5.254906500000e+06
28,26,0.000000000000e+00
28,28,1.159643700000e+07
28,32,4.421250000000e+07
28,34,5.254906500000e+06
29,19,4.421250000000e+07
29,23,3.772902900000e+06
29,25,0.000000000000e+00
29,29,1.456044420000e+07
29,31,-4.421250000000e+07
29,35,3.772902900000e+06
30,24,-1.100400000000e+09
30,30,2.200800000000e+09
30,36,-1.100400000000e+09
31,25,-3.537000000000e+08
31,29,-4.421250000000e+07
31,31,7.074000000000e+08
31,35,0.000000000000e+00
31,37,-3.537000000000e+08
31,41,4.421250000000e+07
32,26,-3.537000000000e+08
32,28,4.421250000000e+07
32,32,7.074000000000e+08
32,34,0.000000000000e+00
32,38,-3.537000000000e+08
32,40,-4.421250000000e+07
