Row (Local DOF),Column (Local DOF),K_e Value
0,0,8.803200000000e+09
0,6,-8.803200000000e+09
1,1,2.829600000000e+09
1,5,4.421250000000e+07
1,7,-2.829600000000e+09
1,11,4.421250000000e+07
2,2,2.829600000000e+09
2,4,-4.421250000000e+07
2,8,-2.829600000000e+09
2,10,-4.421250000000e+07
3,3,6.756644160000e+04
3,9,-6.756644160000e+04
4,2,-4.421250000000e+07
4,4,2.864068312500e+06
4,8,4.421250000000e+07
4,10,-1.482427687500e+06
5,1,4.421250000000e+07
5,5,1.472009711250e+07
5,7,-4.421250000000e+07
5,11,-1.333845648750e+07
6,0,-8.803200000000e+09
6,6,8.803200000000e+09
7,1,-2.829600000000e+09
7,5,-4.421250000000e+07
7,7,2.829600000000e+09
7,11,-4.421250000000e+07
8,2,-2.829600000000e+09
8,4,4.421250000000e+07
8,8,2.829600000000e+09
8,10,4.421250000000e+07
9,3,-6.756644160000e+04
9,9,6.756644160000e+04
10,2,-4.421250000000e+07
10,4,-1.482427687500e+06
10,8,4.421250000000e+07
10,10,2.864068312500e+06
11,1,4.421250000000e+07
11,5,-1.333845648750e+07
11,7,-4.421250000000e+07
11,11,1.472009711250e+07
