sigma1,sigma2,sigma3
2.300893850449e-10,-1.939347979082e-11,-2.300893850449e-10
3.834823084081e-11,-1.939347979082e-11,-3.834823084081e-11
1.342188079428e-10,-1.939347979082e-11,-1.342188079428e-10
