# Load Type: TRIANGULAR
# Load Formula: q(x) = w * (x/L)
[Distributed load]
         [x]          [y]          [z]        [F_x]        [F_y]        [F_z]        [M_x]        [M_y]        [M_z]
    0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    0.068966     0.000000     0.000000     0.000000   -17.241379     0.000000     0.000000     0.000000     0.000000
    0.137931     0.000000     0.000000     0.000000   -34.482759     0.000000     0.000000     0.000000     0.000000
    0.206897     0.000000     0.000000     0.000000   -51.724138     0.000000     0.000000     0.000000     0.000000
    0.275862     0.000000     0.000000     0.000000   -68.965517     0.000000     0.000000     0.000000     0.000000
    0.344828     0.000000     0.000000     0.000000   -86.206897     0.000000     0.000000     0.000000     0.000000
    0.413793     0.000000     0.000000     0.000000  -103.448276     0.000000     0.000000     0.000000     0.000000
    0.482759     0.000000     0.000000     0.000000  -120.689655     0.000000     0.000000     0.000000     0.000000
    0.551724     0.000000     0.000000     0.000000  -137.931034     0.000000     0.000000     0.000000     0.000000
    0.620690     0.000000     0.000000     0.000000  -155.172414     0.000000     0.000000     0.000000     0.000000
    0.689655     0.000000     0.000000     0.000000  -172.413793     0.000000     0.000000     0.000000     0.000000
    0.758621     0.000000     0.000000     0.000000  -189.655172     0.000000     0.000000     0.000000     0.000000
    0.827586     0.000000     0.000000     0.000000  -206.896552     0.000000     0.000000     0.000000     0.000000
    0.896552     0.000000     0.000000     0.000000  -224.137931     0.000000     0.000000     0.000000     0.000000
    0.965517     0.000000     0.000000     0.000000  -241.379310     0.000000     0.000000     0.000000     0.000000
    1.034483     0.000000     0.000000     0.000000  -258.620690     0.000000     0.000000     0.000000     0.000000
    1.103448     0.000000     0.000000     0.000000  -275.862069     0.000000     0.000000     0.000000     0.000000
    1.172414     0.000000     0.000000     0.000000  -293.103448     0.000000     0.000000     0.000000     0.000000
    1.241379     0.000000     0.000000     0.000000  -310.344828     0.000000     0.000000     0.000000     0.000000
    1.310345     0.000000     0.000000     0.000000  -327.586207     0.000000     0.000000     0.000000     0.000000
    1.379310     0.000000     0.000000     0.000000  -344.827586     0.000000     0.000000     0.000000     0.000000
    1.448276     0.000000     0.000000     0.000000  -362.068966     0.000000     0.000000     0.000000     0.000000
    1.517241     0.000000     0.000000     0.000000  -379.310345     0.000000     0.000000     0.000000     0.000000
    1.586207     0.000000     0.000000     0.000000  -396.551724     0.000000     0.000000     0.000000     0.000000
    1.655172     0.000000     0.000000     0.000000  -413.793103     0.000000     0.000000     0.000000     0.000000
    1.724138     0.000000     0.000000     0.000000  -431.034483     0.000000     0.000000     0.000000     0.000000
    1.793103     0.000000     0.000000     0.000000  -448.275862     0.000000     0.000000     0.000000     0.000000
    1.862069     0.000000     0.000000     0.000000  -465.517241     0.000000     0.000000     0.000000     0.000000
    1.931034     0.000000     0.000000     0.000000  -482.758621     0.000000     0.000000     0.000000     0.000000
    2.000000     0.000000     0.000000     0.000000  -500.000000     0.000000     0.000000     0.000000     0.000000
