job_id,x,uy_fem_mm,uy_roark_mm,error_uy_mm,theta_z_fem_deg,theta_z_roark_deg,error_theta_z_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.562500000000000000e-02,-2.777104999983999651e-04,-2.777104999424014108e-04,-5.599855431789868554e-14,-2.034031001725016344e-03,-2.034031001311462604e-03,-4.135537398641808693e-13
0.000000000000000000e+00,3.125000000000000000e-02,-1.107941629240000040e-03,-1.107941629013027085e-03,-2.269729543202814170e-13,-4.052108819141580533e-03,-4.052108818298913451e-03,-8.426670819461357098e-13
0.000000000000000000e+00,4.687500000000000000e-02,-2.486342831593999717e-03,-2.486342831077009187e-03,-5.169905302471189401e-13,-6.054233452247399262e-03,-6.054233450962353408e-03,-1.285045854448885194e-12
0.000000000000000000e+00,6.250000000000000000e-02,-4.408563550930000297e-03,-4.408563549999479879e-03,-9.305204176635051283e-13,-8.040404901049348976e-03,-8.040404899301781608e-03,-1.747567368592939374e-12
0.000000000000000000e+00,7.812500000000000000e-02,-6.870253231117999515e-03,-6.870253229645570565e-03,-1.472428949600423920e-12,-1.001062316554055323e-02,-1.001062316331719805e-02,-2.223355180519526186e-12
0.000000000000000000e+00,9.375000000000000000e-02,-9.867061316025998660e-03,-9.867061313880414603e-03,-2.145584057644533971e-12,-1.196488824572674269e-02,-1.196488824300860274e-02,-2.718139949231535013e-12
0.000000000000000000e+00,1.093750000000000000e-01,-1.339463724952000105e-02,-1.339463724656914101e-02,-2.950860042427727592e-12,-1.390320014160218581e-02,-1.390320013837599566e-02,-3.226190148364338484e-12
0.000000000000000000e+00,1.250000000000000000e-01,-1.744863047547999882e-02,-1.744863047157688488e-02,-3.903113943160008148e-12,-1.582555885316688435e-02,-1.582555884941938204e-02,-3.747502308470984644e-12
0.000000000000000000e+00,1.406250000000000000e-01,-2.202469043777000035e-02,-2.202469043276877869e-02,-5.001221659028942668e-12,-1.773196438042656808e-02,-1.773196437613874799e-02,-4.287820098980432704e-12
0.000000000000000000e+00,1.562500000000000000e-01,-2.711846658024999815e-02,-2.711846657400995494e-02,-6.240043204375211872e-12,-1.962241672337550896e-02,-1.962241671853411085e-02,-4.841398115740247476e-12
0.000000000000000000e+00,1.718750000000000000e-01,-3.272560834681000064e-02,-3.272560833916554612e-02,-7.644454513844323174e-12,-2.149691588201943157e-02,-2.149691587660545675e-02,-5.413974824008960240e-12
0.000000000000000000e+00,1.875000000000000000e-01,-3.884176518129999617e-02,-3.884176517210068125e-02,-9.199314920937951001e-12,-2.335546185635261132e-02,-2.335546185035279262e-02,-5.999818697421943625e-12
0.000000000000000000e+00,2.031250000000000000e-01,-4.546258652759999769e-02,-4.546258651668048240e-02,-1.091951529197388027e-11,-2.519805464638077627e-02,-2.519805463977611848e-02,-6.604657792896873048e-12
0.000000000000000000e+00,2.187500000000000000e-01,-5.258372182957000290e-02,-5.258372181677010981e-02,-1.279989308988760399e-11,-2.702469425209819490e-02,-2.702469424487543084e-02,-7.222764053516073091e-12
0.000000000000000000e+00,2.343750000000000000e-01,-6.020082053109000048e-02,-6.020082051623466823e-02,-1.485533224210300318e-11,-2.883538067350486719e-02,-2.883538066565073665e-02,-7.854130540385639847e-12
0.000000000000000000e+00,2.500000000000000000e-01,-6.830953207603000787e-02,-6.830953205893930402e-02,-1.709070385214062071e-11,-3.063011391060653163e-02,-3.063011390210202550e-02,-8.504506127104960456e-12
0.000000000000000000e+00,2.656250000000000000e-01,-7.690550590824998811e-02,-7.690550588874914273e-02,-1.950084538293594960e-11,-3.240889396339744627e-02,-3.240889395422930780e-02,-9.168138470627695824e-12
0.000000000000000000e+00,2.812500000000000000e-01,-8.598439147162000029e-02,-8.598439144952932378e-02,-2.209067651026686008e-11,-3.417172083188334264e-02,-3.417172082203256966e-02,-9.850772975106281137e-12
0.000000000000000000e+00,2.968750000000000000e-01,-9.554183821002000532e-02,-9.554183818514495885e-02,-2.487504646708771361e-11,-3.591859451605849268e-02,-3.591859450551182498e-02,-1.054666770583523316e-11
0.000000000000000000e+00,3.125000000000000000e-01,-1.055734955673000020e-01,-1.055734955394612151e-01,-2.783878683132456899e-11,-3.764951501592863486e-02,-3.764951500466707374e-02,-1.126156112807308318e-11
0.000000000000000000e+00,3.281250000000000000e-01,-1.160750129874000003e-01,-1.160750129563431904e-01,-3.105680990156400867e-11,-3.936448233148803072e-02,-3.936448231949830900e-02,-1.198972171545520382e-11
0.000000000000000000e+00,3.437500000000000000e-01,-1.270420399140000101e-01,-1.270420398796560379e-01,-3.434397211066197997e-11,-4.106349646273667331e-02,-4.106349645000552384e-02,-1.273114946798159508e-11
0.000000000000000000e+00,3.593750000000000000e-01,-1.384702257911999967e-01,-1.384702257532648972e-01,-3.793509950611451131e-11,-4.274655740967457651e-02,-4.274655739618873213e-02,-1.348584438565225696e-11
0.000000000000000000e+00,3.750000000000000000e-01,-1.503552200627999991e-01,-1.503552200210348799e-01,-4.176511914089076072e-11,-4.441366517230746491e-02,-4.441366515804793386e-02,-1.425953105593791292e-11
0.000000000000000000e+00,3.906250000000000000e-01,-1.626926721726000002e-01,-1.626926721268311116e-01,-4.576888867902084712e-11,-4.606481975062388240e-02,-4.606481973558312210e-02,-1.504076030389711605e-11
0.000000000000000000e+00,4.062500000000000000e-01,-1.754782315645000146e-01,-1.754782315145187455e-01,-4.998126912347800044e-11,-4.770002114463528509e-02,-4.770002112879429684e-02,-1.584098824336521716e-11
0.000000000000000000e+00,4.218750000000000000e-01,-1.887075476822999975e-01,-1.887075476279629349e-01,-5.433706262714110835e-11,-4.931926935434166603e-02,-4.931926933768146504e-02,-1.666020099655440845e-11
0.000000000000000000e+00,4.375000000000000000e-01,-2.023762699700999979e-01,-2.023762699110287500e-01,-5.907124789317208524e-11,-5.092256437973157607e-02,-5.092256436224461280e-02,-1.748696326631105080e-11
0.000000000000000000e+00,4.531250000000000000e-01,-2.164800478714999921e-01,-2.164800478075813439e-01,-6.391864815213921247e-11,-5.250990622082219589e-02,-5.250990620248375401e-02,-1.833844187615341070e-11
0.000000000000000000e+00,4.687500000000000000e-01,-2.310145308304999978e-01,-2.310145307614858701e-01,-6.901412774595883093e-11,-5.408129487760208326e-02,-5.408129485839888867e-02,-1.920319459003394513e-11
0.000000000000000000e+00,4.843750000000000000e-01,-2.459753682910000294e-01,-2.459753682166074817e-01,-7.439254767760417053e-11,-5.563673035007694195e-02,-5.563673032999000290e-02,-2.008693905652947365e-11
0.000000000000000000e+00,5.000000000000000000e-01,-2.613582096968000146e-01,-2.613582096168112212e-01,-7.998879336668096585e-11,-5.717621263824106126e-02,-5.717621261725711751e-02,-2.098394374927536887e-11
0.000000000000000000e+00,5.156250000000000000e-01,-2.771587044918000231e-01,-2.771587044059623528e-01,-8.583767030501121553e-11,-5.869974174210016576e-02,-5.869974172020021169e-02,-2.189995407242406600e-11
0.000000000000000000e+00,5.312500000000000000e-01,-2.933725021199000138e-01,-2.933725020279258633e-01,-9.197415051787061202e-11,-6.020731766165425547e-02,-6.020731763881928544e-02,-2.283497002597556502e-11
0.000000000000000000e+00,5.468750000000000000e-01,-3.099952520249000254e-01,-3.099952519265669615e-01,-9.833306391371365862e-11,-6.169894039692051108e-02,-6.169894037311435958e-02,-2.380615149455422852e-11
0.000000000000000000e+00,5.625000000000000000e-01,-3.270226036507000167e-01,-3.270226035457508562e-01,-1.049491604732111227e-10,-6.317460994784165895e-02,-6.317460992308542023e-02,-2.475623872566501404e-11
0.000000000000000000e+00,5.781250000000000000e-01,-3.444502064412000020e-01,-3.444502063293425342e-01,-1.118574677327899280e-10,-6.463432631447496579e-02,-6.463432628873247432e-02,-2.574249147180296404e-11
0.000000000000000000e+00,5.937500000000000000e-01,-3.622737098402000200e-01,-3.622737097212072599e-01,-1.189927600897533466e-10,-6.607808949682045241e-02,-6.607808947005551492e-02,-2.676493748854369414e-11
0.000000000000000000e+00,6.093750000000000000e-01,-3.804887632916000295e-01,-3.804887631652100199e-01,-1.263900095693770709e-10,-6.750589949487811881e-02,-6.750589946705454203e-02,-2.782357677588720435e-11
0.000000000000000000e+00,6.250000000000000000e-01,-3.990910162393999649e-01,-3.990910161052160232e-01,-1.341839417356993636e-10,-6.891775630859064972e-02,-6.891775627972955565e-02,-2.886109407018722095e-11
0.000000000000000000e+00,6.406250000000000000e-01,-4.180761181273000004e-01,-4.180761179850904230e-01,-1.422095774472609264e-10,-7.031365993801536041e-02,-7.031365990808056965e-02,-2.993479075730220984e-11
0.000000000000000000e+00,6.562500000000000000e-01,-4.374397183992000393e-01,-4.374397182486983171e-01,-1.505017221958837581e-10,-7.169361038315223700e-02,-7.169361035210754240e-02,-3.104469459280778665e-11
0.000000000000000000e+00,6.718750000000000000e-01,-4.571774664989999848e-01,-4.571774663399049143e-01,-1.590950704510873948e-10,-7.305760764394400586e-02,-7.305760761181052942e-02,-3.213347643526986985e-11
0.000000000000000000e+00,6.875000000000000000e-01,-4.772850118706000178e-01,-4.772850117025752015e-01,-1.680248162827524538e-10,-7.440565172050524201e-02,-7.440565168718950295e-02,-3.331573905640539124e-11
0.000000000000000000e+00,7.031250000000000000e-01,-4.977580039577999549e-01,-4.977580037805744428e-01,-1.772255120435772824e-10,-7.573774261272134267e-02,-7.573774257824446299e-02,-3.447687968449741902e-11
0.000000000000000000e+00,7.187500000000000000e-01,-5.185920922046000081e-01,-5.185920920177676807e-01,-1.868323273868099932e-10,-7.705388032059232173e-02,-7.705388028497540953e-02,-3.561691219733376101e-11
0.000000000000000000e+00,7.343750000000000000e-01,-5.397829260547000185e-01,-5.397829258580201239e-01,-1.966798945929326692e-10,-7.835406484423278195e-02,-7.835406480738234258e-02,-3.685043936663134900e-11
0.000000000000000000e+00,7.500000000000000000e-01,-5.613261549521000315e-01,-5.613261547451967592e-01,-2.069032722928909607e-10,-7.963829618352812056e-02,-7.963829614546526214e-02,-3.806285842067325120e-11
0.000000000000000000e+00,7.656250000000000000e-01,-5.832174283405999748e-01,-5.832174281231630175e-01,-2.174369573282319834e-10,-8.090657433853562508e-02,-8.090657429922418209e-02,-3.931144298974231788e-11
0.000000000000000000e+00,7.812500000000000000e-01,-6.054523956641000293e-01,-6.054523954357837745e-01,-2.283162547911388174e-10,-8.215889930919800799e-02,-8.215889926865907467e-02,-4.053893332134350658e-11
0.000000000000000000e+00,7.968750000000000000e-01,-6.280267063664999316e-01,-6.280267061269241280e-01,-2.395758036399797675e-10,-8.339527109562985818e-02,-8.339527105376996763e-02,-4.185989055383032564e-11
0.000000000000000000e+00,8.125000000000000000e-01,-6.509360098915999426e-01,-6.509360096404493978e-01,-2.511505448055117995e-10,-8.461568969771660065e-02,-8.461568965455684710e-02,-4.315975354884926674e-11
0.000000000000000000e+00,8.281250000000000000e-01,-6.741759556833999412e-01,-6.741759554202246818e-01,-2.631752593629244075e-10,-8.582015511545820763e-02,-8.582015507101971308e-02,-4.443849455082471422e-11
0.000000000000000000e+00,8.437500000000000000e-01,-6.977421931856000459e-01,-6.977421929101149667e-01,-2.754850791930607556e-10,-8.700866734896928190e-02,-8.700866730315855169e-02,-4.581073020926140771e-11
0.000000000000000000e+00,8.593750000000000000e-01,-7.216303718420999935e-01,-7.216303715539854613e-01,-2.881145322319866864e-10,-8.818122639813523456e-02,-8.818122635097340456e-02,-4.716182999686679977e-11
0.000000000000000000e+00,8.750000000000000000e-01,-7.458361410969001071e-01,-7.458361407957013745e-01,-3.011987326217990812e-10,-8.933783226307066838e-02,-8.933783221446423006e-02,-4.860643831872124565e-11
