2026-02-26 16:19:36,609 [DEBUG] 📁 Log file created at: c:\Users\s1834431\Programs\fem_model\post_processing\results\job_0011_n128_2026-02-26_16-19-30-575092_pid18316_2d41477b\logs\ModifyGlobalSystem.log (Module: modification, Line: 134)
2026-02-26 16:19:36,609 [INFO] 🔧 Applying stabilized boundary conditions... (Module: modification, Line: 152)
2026-02-26 16:19:36,611 [DEBUG] Computed penalty value: 1.00e+36 (Module: modification, Line: 210)
2026-02-26 16:19:36,613 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: modification, Line: 325)
2026-02-26 16:19:36,613 [DEBUG] Original Non-zeros: 3850
Modified Non-zeros: 3826
Penalty Value: 1.00e+36
Stabilization Factor: 1.00e+26 (Module: modification, Line: 337)
2026-02-26 16:19:36,627 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
 126  132 -1.760640e+10
 695  697 -4.421250e+07
  24   30 -1.760640e+10
 134  136  0.000000e+00
 622  622  9.383812e+06
 442  446  4.421250e+07
 110  110  1.131840e+10
 272  274  0.000000e+00
  73   79 -5.659200e+09
 383  377 -2.771314e+07
 345  345  2.702658e+05
 656  650 -5.659200e+09
 242  250 -4.421250e+07
 356  358  0.000000e+00
 120  114 -1.760640e+10
  16   10 -4.001086e+06
 631  625 -5.659200e+09
 605  599 -2.771314e+07
 716  710 -5.659200e+09
 236  238  0.000000e+00
 595  593 -4.421250e+07
 466  458 -4.421250e+07
 424  428  4.421250e+07
 187  185 -4.421250e+07
 113  103  4.421250e+07
 172  166 -4.001086e+06
 349  355 -5.659200e+09
 642  636 -1.760640e+10
 461  467 -2.771314e+07
 214  214  9.383812e+06
 685  689  0.000000e+00
 220  224  4.421250e+07
 751  755  0.000000e+00
 404  412 -4.421250e+07
 359  355  0.000000e+00
 468  468  3.521280e+10
 244  238 -4.001086e+06
 272  280 -4.421250e+07
  99  105 -1.351329e+05
 185  191 -2.771314e+07
 162  156 -1.760640e+10
 512  512  1.131840e+10
 140  142  0.000000e+00
 190  194  4.421250e+07
  86   88  0.000000e+00
 669  675 -1.351329e+05
 172  170  0.000000e+00
 224  224  1.131840e+10
 772  764 -4.421250e+07
 751  757 -5.659200e+09
  90   96 -1.760640e+10
  83   77 -2.771314e+07
 748  754 -4.001086e+06
 337  341  0.000000e+00
 560  566 -5.659200e+09
 532  538 -4.001086e+06
 431  433 -4.421250e+07
 722  728 -5.659200e+09
 217  221  0.000000e+00
 646  638 -4.421250e+07
 600  594 -1.760640e+10
 413  415 -4.421250e+07
 260  266 -5.659200e+09
 655  653 -4.421250e+07
 282  276 -1.760640e+10
 142  136 -4.001086e+06
 123  123  2.702658e+05
 152  146 -5.659200e+09
 684  690 -1.760640e+10
 205  205  1.131840e+10
 753  753  2.702658e+05
 685  683 -4.421250e+07
 721  715 -5.659200e+09
  66   72 -1.760640e+10
 644  652 -4.421250e+07
 337  337  1.131840e+10
  98   98  1.131840e+10
 479  479  5.680793e+07
 749  755 -2.771314e+07
 116  112  4.421250e+07
 197  191 -2.771314e+07
 100   94 -4.001086e+06
 678  678  3.521280e+10
 239  229  4.421250e+07
 284  284  1.131840e+10
 559  569  4.421250e+07
 390  396 -1.760640e+10
 257  259 -4.421250e+07
 256  260  4.421250e+07
 611  607  0.000000e+00
 230  224 -5.659200e+09
 535  535  1.131840e+10
 256  254  0.000000e+00
 427  427  1.131840e+10
 107  101 -2.771314e+07
 143  149 -2.771314e+07
  13   19 -5.659200e+09
 427  437  4.421250e+07
 130  124 -4.001086e+06
 476  472  4.421250e+07
 191  191  5.680793e+07
 520  524  4.421250e+07
 211  217 -5.659200e+09
 659  649  4.421250e+07
 203  199  0.000000e+00
 541  539 -4.421250e+07
 575  577 -4.421250e+07
 623  619  0.000000e+00
 682  680  0.000000e+00
 651  651  2.702658e+05
 622  614 -4.421250e+07
 289  293  0.000000e+00
 235  233 -4.421250e+07
 632  638 -5.659200e+09
 621  615 -1.351329e+05
 609  615 -1.351329e+05
 361  359 -4.421250e+07
 194  188 -5.659200e+09
 718  718  9.383812e+06
 517  521  0.000000e+00
 199  199  1.131840e+10
 296  304 -4.421250e+07
 635  625  4.421250e+07
 694  700 -4.001086e+06
 499  497 -4.421250e+07
 190  190  9.383812e+06
 232  238 -4.001086e+06
 604  598 -4.001086e+06
 341  347 -2.771314e+07
 711  705 -1.351329e+05
 403  409 -5.659200e+09
 653  649  0.000000e+00
 587  583  0.000000e+00
 107   97  4.421250e+07
 275  269 -2.771314e+07
 675  675  2.702658e+05
 292  292  9.383812e+06
 414  420 -1.760640e+10
 272  272  1.131840e+10
 353  359 -2.771314e+07
 589  583 -5.659200e+09
 643  649 -5.659200e+09
  88   92  4.421250e+07
 337  347  4.421250e+07
  56   58  0.000000e+00
  14   20 -5.659200e+09
 284  286  0.000000e+00
 706  710  4.421250e+07
  82   86  4.421250e+07
 403  407  0.000000e+00
  35   31  0.000000e+00
 192  192  3.521280e+10
 269  269  5.680793e+07
 445  455  4.421250e+07
  97  103 -5.659200e+09
 427  433 -5.659200e+09
