Row (Condensed DOF),Column (Condensed DOF),K Value
0,0,2.751000000000e+10
0,6,-1.375500000000e+10
1,1,1.473074064000e+14
1,5,1.052195760000e+13
1,7,-7.365370320000e+13
1,11,3.156587280000e+13
2,2,2.281910400000e+13
2,4,-1.629936000000e+12
2,8,-1.140955200000e+13
2,10,-4.889808000000e+12
3,3,2.111451300000e+05
3,9,-1.055725650000e+05
4,2,-1.629936000000e+12
4,4,5.976432000000e+12
4,8,6.519744000000e+12
4,10,2.716560000000e+12
5,1,1.052195760000e+13
5,5,3.858051120000e+13
5,7,-4.208783040000e+13
5,11,1.753659600000e+13
6,0,-1.375500000000e+10
6,6,2.751000000000e+10
6,12,-1.375500000000e+10
7,1,-7.365370320000e+13
7,5,-4.208783040000e+13
7,7,1.473074064000e+14
7,11,1.052195760000e+13
7,13,-7.365370320000e+13
7,17,3.156587280000e+13
8,2,-1.140955200000e+13
8,4,6.519744000000e+12
8,8,2.281910400000e+13
8,10,-1.629936000000e+12
8,14,-1.140955200000e+13
8,16,-4.889808000000e+12
9,3,-1.055725650000e+05
9,9,2.111451300000e+05
9,15,-1.055725650000e+05
10,2,-4.889808000000e+12
10,4,2.716560000000e+12
10,8,-1.629936000000e+12
10,10,5.976432000000e+12
10,14,6.519744000000e+12
10,16,2.716560000000e+12
11,1,3.156587280000e+13
11,5,1.753659600000e+13
11,7,1.052195760000e+13
11,11,3.858051120000e+13
11,13,-4.208783040000e+13
11,17,1.753659600000e+13
12,6,-1.375500000000e+10
12,12,2.751000000000e+10
12,18,-1.375500000000e+10
13,7,-7.365370320000e+13
13,11,-4.208783040000e+13
13,13,1.473074064000e+14
13,17,1.052195760000e+13
13,19,-7.365370320000e+13
13,23,3.156587280000e+13
14,8,-1.140955200000e+13
14,10,6.519744000000e+12
14,14,2.281910400000e+13
14,16,-1.629936000000e+12
14,20,-1.140955200000e+13
14,22,-4.889808000000e+12
15,9,-1.055725650000e+05
15,15,2.111451300000e+05
15,21,-1.055725650000e+05
16,8,-4.889808000000e+12
16,10,2.716560000000e+12
16,14,-1.629936000000e+12
16,16,5.976432000000e+12
16,20,6.519744000000e+12
16,22,2.716560000000e+12
17,7,3.156587280000e+13
17,11,1.753659600000e+13
17,13,1.052195760000e+13
17,17,3.858051120000e+13
17,19,-4.208783040000e+13
17,23,1.753659600000e+13
18,12,-1.375500000000e+10
18,18,2.751000000000e+10
18,24,-1.375500000000e+10
19,13,-7.365370320000e+13
19,17,-4.208783040000e+13
19,19,1.473074064000e+14
19,23,1.052195760000e+13
19,25,-7.365370320000e+13
19,29,3.156587280000e+13
20,14,-1.140955200000e+13
20,16,6.519744000000e+12
20,20,2.281910400000e+13
20,22,-1.629936000000e+12
20,26,-1.140955200000e+13
20,28,-4.889808000000e+12
21,15,-1.055725650000e+05
21,21,2.111451300000e+05
21,27,-1.055725650000e+05
22,14,-4.889808000000e+12
22,16,2.716560000000e+12
22,20,-1.629936000000e+12
22,22,5.976432000000e+12
22,26,6.519744000000e+12
22,28,2.716560000000e+12
23,13,3.156587280000e+13
23,17,1.753659600000e+13
23,19,1.052195760000e+13
23,23,3.858051120000e+13
23,25,-4.208783040000e+13
23,29,1.753659600000e+13
24,18,-1.375500000000e+10
24,24,2.751000000000e+10
24,30,-1.375500000000e+10
25,19,-7.365370320000e+13
25,23,-4.208783040000e+13
25,25,1.473074064000e+14
25,29,1.052195760000e+13
25,31,-7.365370320000e+13
25,35,3.156587280000e+13
26,20,-1.140955200000e+13
26,22,6.519744000000e+12
26,26,2.281910400000e+13
26,28,-1.629936000000e+12
26,32,-1.140955200000e+13
26,34,-4.889808000000e+12
27,21,-1.055725650000e+05
27,27,2.111451300000e+05
27,33,-1.055725650000e+05
28,20,-4.889808000000e+12
