[x],[y],[z],[F_x],[F_y],[F_z],[M_x],[M_y],[M_z]
0.57992,0.0,0.0,4.574298,541.198958,29.221991,1.264853,19.890728,367.922685
0.58792,0.0,0.0,4.60994,551.270499,28.983162,1.259426,19.95964,379.183498
0.59592,0.0,0.0,4.654366,561.128414,28.619341,1.264159,19.938629,390.456083
0.60392,0.0,0.0,4.697843,569.222813,27.993562,1.262053,19.7258,400.642558
0.61192,0.0,0.0,4.752712,577.078221,27.479356,1.252229,19.583503,410.791439
0.61992,0.0,0.0,4.808598,582.244947,26.53418,1.246805,19.122495,419.128694
0.62792,0.0,0.0,4.891503,587.085122,25.71876,1.238721,18.740533,427.308611
0.63592,0.0,0.0,4.994203,589.177045,24.447504,1.241372,18.010858,433.546753
0.64392,0.0,0.0,5.129339,587.690428,22.964331,1.229853,17.102735,437.153859
0.65192,0.0,0.0,5.2969,581.89272,21.229851,1.211202,15.98181,437.494944
0.65992,0.0,0.0,5.551961,570.204896,18.899452,1.181228,14.380381,433.267505
0.66792,0.0,0.0,5.499293,549.905613,15.967246,1.141501,12.279023,422.240017
0.67592,0.0,0.0,5.291531,517.529329,12.090293,1.091894,9.398353,401.522877
0.68392,0.0,0.0,4.96508,466.348712,6.561461,1.041951,5.161228,365.546944
0.69984,0.0,0.0,26.069474,241.626956,15.435507,2.464124,12.277362,193.236887
