element_id,element_type
0,Euler-Bernoulli-3D
1,Euler-Bernoulli-3D
2,Euler-Bernoulli-3D
3,Euler-Bernoulli-3D
4,Euler-Bernoulli-3D
5,Euler-Bernoulli-3D
6,Euler-Bernoulli-3D
7,Euler-Bernoulli-3D
8,Euler-Bernoulli-3D
9,Euler-Bernoulli-3D
10,Euler-Bernoulli-3D
11,Euler-Bernoulli-3D
12,Euler-Bernoulli-3D
13,Euler-Bernoulli-3D
14,Euler-Bernoulli-3D
15,Euler-Bernoulli-3D
16,Euler-Bernoulli-3D
17,Euler-Bernoulli-3D
18,Euler-Bernoulli-3D
19,Euler-Bernoulli-3D
20,Euler-Bernoulli-3D
21,Euler-Bernoulli-3D
22,Euler-Bernoulli-3D
23,Euler-Bernoulli-3D
24,Euler-Bernoulli-3D
25,Euler-Bernoulli-3D
26,Euler-Bernoulli-3D
27,Euler-Bernoulli-3D
28,Euler-Bernoulli-3D
29,Euler-Bernoulli-3D
30,Euler-Bernoulli-3D
31,Euler-Bernoulli-3D
