sigma1,sigma2,sigma3
9.052605959636e+02,-3.320312500027e+02,-9.052605959636e+02
5.000000000076e+02,-3.320312500027e+02,-5.000000000076e+02
9.473940405162e+01,-9.473940405162e+01,-3.320312500027e+02
