Row (Local DOF),Column (Local DOF),K_e Value
0,0,2.200800000000e+09
0,6,-2.200800000000e+09
1,1,7.074000000000e+08
1,5,4.421250000000e+07
1,7,-7.074000000000e+08
1,11,4.421250000000e+07
2,2,7.074000000000e+08
2,4,-4.421250000000e+07
2,8,-7.074000000000e+08
2,10,-4.421250000000e+07
3,3,1.689161040000e+04
3,9,-1.689161040000e+04
4,2,-4.421250000000e+07
4,4,3.306593250000e+06
4,8,4.421250000000e+07
4,10,2.219969250000e+06
5,1,4.421250000000e+07
5,5,6.270600450000e+06
5,7,-4.421250000000e+07
5,11,-7.440379500000e+05
6,0,-2.200800000000e+09
6,6,2.200800000000e+09
7,1,-7.074000000000e+08
7,5,-4.421250000000e+07
7,7,7.074000000000e+08
7,11,-4.421250000000e+07
8,2,-7.074000000000e+08
8,4,4.421250000000e+07
8,8,7.074000000000e+08
8,10,4.421250000000e+07
9,3,-1.689161040000e+04
9,9,1.689161040000e+04
10,2,-4.421250000000e+07
10,4,2.219969250000e+06
10,8,4.421250000000e+07
10,10,3.306593250000e+06
11,1,4.421250000000e+07
11,5,-7.440379500000e+05
11,7,-4.421250000000e+07
11,11,6.270600450000e+06
