Row (Global DOF),Column (Global DOF),K Value
50,58,-1.043159040000e+08
51,45,-3.378322080000e+04
51,51,6.756644160000e+04
51,57,-3.378322080000e+04
52,44,-1.043159040000e+08
52,46,2.173248000000e+06
52,50,0.000000000000e+00
52,52,8.692992000000e+06
52,56,1.043159040000e+08
52,58,2.173248000000e+06
53,43,6.734052864000e+08
53,47,1.402927680000e+07
53,49,0.000000000000e+00
53,53,5.611710720000e+07
53,55,-6.734052864000e+08
53,59,1.402927680000e+07
54,48,-4.401600000000e+09
54,54,8.803200000000e+09
54,60,-4.401600000000e+09
55,49,-2.154896916480e+10
55,53,-6.734052864000e+08
55,55,4.309793832960e+10
55,59,0.000000000000e+00
55,61,-2.154896916480e+10
55,65,6.734052864000e+08
56,50,-3.338108928000e+09
56,52,1.043159040000e+08
56,56,6.676217856000e+09
56,58,0.000000000000e+00
56,62,-3.338108928000e+09
56,64,-1.043159040000e+08
57,51,-3.378322080000e+04
57,57,6.756644160000e+04
57,63,-3.378322080000e+04
58,50,-1.043159040000e+08
58,52,2.173248000000e+06
58,56,0.000000000000e+00
58,58,8.692992000000e+06
58,62,1.043159040000e+08
58,64,2.173248000000e+06
59,49,6.734052864000e+08
59,53,1.402927680000e+07
59,55,0.000000000000e+00
59,59,5.611710720000e+07
59,61,-6.734052864000e+08
59,65,1.402927680000e+07
60,54,-4.401600000000e+09
60,60,8.803200000000e+09
60,66,-4.401600000000e+09
61,55,-2.154896916480e+10
61,59,-6.734052864000e+08
61,61,4.309793832960e+10
61,65,0.000000000000e+00
61,67,-2.154896916480e+10
61,71,6.734052864000e+08
62,56,-3.338108928000e+09
62,58,1.043159040000e+08
62,62,6.676217856000e+09
62,64,0.000000000000e+00
62,68,-3.338108928000e+09
62,70,-1.043159040000e+08
63,57,-3.378322080000e+04
63,63,6.756644160000e+04
63,69,-3.378322080000e+04
64,56,-1.043159040000e+08
64,58,2.173248000000e+06
64,62,0.000000000000e+00
64,64,8.692992000000e+06
64,68,1.043159040000e+08
64,70,2.173248000000e+06
65,55,6.734052864000e+08
65,59,1.402927680000e+07
65,61,0.000000000000e+00
65,65,5.611710720000e+07
65,67,-6.734052864000e+08
65,71,1.402927680000e+07
66,60,-4.401600000000e+09
66,66,8.803200000000e+09
66,72,-4.401600000000e+09
67,61,-2.154896916480e+10
67,65,-6.734052864000e+08
67,67,4.309793832960e+10
67,71,0.000000000000e+00
67,73,-2.154896916480e+10
67,77,6.734052864000e+08
68,62,-3.338108928000e+09
68,64,1.043159040000e+08
68,68,6.676217856000e+09
68,70,0.000000000000e+00
68,74,-3.338108928000e+09
68,76,-1.043159040000e+08
69,63,-3.378322080000e+04
69,69,6.756644160000e+04
69,75,-3.378322080000e+04
70,62,-1.043159040000e+08
70,64,2.173248000000e+06
70,68,0.000000000000e+00
70,70,8.692992000000e+06
70,74,1.043159040000e+08
70,76,2.173248000000e+06
71,61,6.734052864000e+08
71,65,1.402927680000e+07
71,67,0.000000000000e+00
71,71,5.611710720000e+07
71,73,-6.734052864000e+08
