sigma1,sigma2,sigma3
0.000000000000e+00,0.000000000000e+00,-2.189079902143e+02
0.000000000000e+00,0.000000000000e+00,-2.160949713085e+02
0.000000000000e+00,0.000000000000e+00,-2.132819524024e+02
