sigma1,sigma2,sigma3
0.000000000000e+00,0.000000000000e+00,-3.368229148926e-08
0.000000000000e+00,0.000000000000e+00,-3.427854592675e-08
0.000000000000e+00,0.000000000000e+00,-3.494781111169e-08
