Row (Global DOF),Column (Global DOF),K Value
0,0,1.000000000000e+36
1,1,1.000000000000e+36
2,2,1.000000000000e+36
3,3,1.000000000000e+36
4,4,1.000000000000e+36
5,5,1.000000000000e+36
6,6,2.200800000000e+09
6,12,-1.100400000000e+09
7,7,6.734052864000e+08
7,11,0.000000000000e+00
7,13,-3.367026432000e+08
7,17,4.208783040000e+07
8,8,1.043159040000e+08
8,10,0.000000000000e+00
8,14,-5.215795200000e+07
8,16,-6.519744000000e+06
9,9,1.689161040000e+04
9,15,-8.445805200000e+03
10,8,0.000000000000e+00
10,10,2.173248000000e+06
10,14,6.519744000000e+06
10,16,5.433120000000e+05
11,7,0.000000000000e+00
11,11,1.402927680000e+07
11,13,-4.208783040000e+07
11,17,3.507319200000e+06
12,6,-1.100400000000e+09
12,12,2.200800000000e+09
12,18,-1.100400000000e+09
13,7,-3.367026432000e+08
13,11,-4.208783040000e+07
13,13,6.734052864000e+08
13,17,0.000000000000e+00
13,19,-3.367026432000e+08
13,23,4.208783040000e+07
14,8,-5.215795200000e+07
14,10,6.519744000000e+06
14,14,1.043159040000e+08
14,16,0.000000000000e+00
14,20,-5.215795200000e+07
14,22,-6.519744000000e+06
15,9,-8.445805200000e+03
15,15,1.689161040000e+04
15,21,-8.445805200000e+03
16,8,-6.519744000000e+06
16,10,5.433120000000e+05
16,14,0.000000000000e+00
16,16,2.173248000000e+06
16,20,6.519744000000e+06
16,22,5.433120000000e+05
17,7,4.208783040000e+07
17,11,3.507319200000e+06
17,13,0.000000000000e+00
17,17,1.402927680000e+07
17,19,-4.208783040000e+07
17,23,3.507319200000e+06
18,12,-1.100400000000e+09
18,18,2.200800000000e+09
18,24,-1.100400000000e+09
19,13,-3.367026432000e+08
19,17,-4.208783040000e+07
19,19,6.734052864000e+08
19,23,0.000000000000e+00
19,25,-3.367026432000e+08
19,29,4.208783040000e+07
20,14,-5.215795200000e+07
20,16,6.519744000000e+06
20,20,1.043159040000e+08
20,22,0.000000000000e+00
20,26,-5.215795200000e+07
20,28,-6.519744000000e+06
21,15,-8.445805200000e+03
21,21,1.689161040000e+04
21,27,-8.445805200000e+03
22,14,-6.519744000000e+06
22,16,5.433120000000e+05
22,20,0.000000000000e+00
22,22,2.173248000000e+06
22,26,6.519744000000e+06
22,28,5.433120000000e+05
23,13,4.208783040000e+07
23,17,3.507319200000e+06
23,19,0.000000000000e+00
23,23,1.402927680000e+07
23,25,-4.208783040000e+07
23,29,3.507319200000e+06
24,18,-1.100400000000e+09
24,24,2.200800000000e+09
24,30,-1.100400000000e+09
25,19,-3.367026432000e+08
25,23,-4.208783040000e+07
25,25,6.734052864000e+08
25,29,0.000000000000e+00
25,31,-3.367026432000e+08
25,35,4.208783040000e+07
26,20,-5.215795200000e+07
26,22,6.519744000000e+06
26,26,1.043159040000e+08
26,28,0.000000000000e+00
26,32,-5.215795200000e+07
26,34,-6.519744000000e+06
27,21,-8.445805200000e+03
27,27,1.689161040000e+04
27,33,-8.445805200000e+03
28,20,-6.519744000000e+06
28,22,5.433120000000e+05
28,26,0.000000000000e+00
28,28,2.173248000000e+06
28,32,6.519744000000e+06
28,34,5.433120000000e+05
29,19,4.208783040000e+07
29,23,3.507319200000e+06
29,25,0.000000000000e+00
29,29,1.402927680000e+07
29,31,-4.208783040000e+07
29,35,3.507319200000e+06
30,24,-1.100400000000e+09
30,30,2.200800000000e+09
30,36,-1.100400000000e+09
31,25,-3.367026432000e+08
31,29,-4.208783040000e+07
31,31,6.734052864000e+08
31,35,0.000000000000e+00
31,37,-3.367026432000e+08
31,41,4.208783040000e+07
32,26,-5.215795200000e+07
32,28,6.519744000000e+06
32,32,1.043159040000e+08
32,34,0.000000000000e+00
32,38,-5.215795200000e+07
32,40,-6.519744000000e+06
33,27,-8.445805200000e+03
33,33,1.689161040000e+04
33,39,-8.445805200000e+03
34,26,-6.519744000000e+06
34,28,5.433120000000e+05
34,32,0.000000000000e+00
34,34,2.173248000000e+06
34,38,6.519744000000e+06
34,40,5.433120000000e+05
35,25,4.208783040000e+07
35,29,3.507319200000e+06
35,31,0.000000000000e+00
35,35,1.402927680000e+07
35,37,-4.208783040000e+07
35,41,3.507319200000e+06
36,30,-1.100400000000e+09
36,36,2.200800000000e+09
36,42,-1.100400000000e+09
37,31,-3.367026432000e+08
37,35,-4.208783040000e+07
37,37,6.734052864000e+08
37,41,0.000000000000e+00
37,43,-3.367026432000e+08
37,47,4.208783040000e+07
38,32,-5.215795200000e+07
38,34,6.519744000000e+06
38,38,1.043159040000e+08
38,40,0.000000000000e+00
38,44,-5.215795200000e+07
38,46,-6.519744000000e+06
39,33,-8.445805200000e+03
39,39,1.689161040000e+04
39,45,-8.445805200000e+03
40,32,-6.519744000000e+06
40,34,5.433120000000e+05
40,38,0.000000000000e+00
40,40,2.173248000000e+06
40,44,6.519744000000e+06
40,46,5.433120000000e+05
41,31,4.208783040000e+07
41,35,3.507319200000e+06
41,37,0.000000000000e+00
41,41,1.402927680000e+07
41,43,-4.208783040000e+07
41,47,3.507319200000e+06
42,36,-1.100400000000e+09
42,42,2.200800000000e+09
42,48,-1.100400000000e+09
43,37,-3.367026432000e+08
43,41,-4.208783040000e+07
43,43,6.734052864000e+08
43,47,0.000000000000e+00
43,49,-3.367026432000e+08
43,53,4.208783040000e+07
44,38,-5.215795200000e+07
44,40,6.519744000000e+06
44,44,1.043159040000e+08
44,46,0.000000000000e+00
44,50,-5.215795200000e+07
44,52,-6.519744000000e+06
45,39,-8.445805200000e+03
45,45,1.689161040000e+04
45,51,-8.445805200000e+03
46,38,-6.519744000000e+06
46,40,5.433120000000e+05
46,44,0.000000000000e+00
46,46,2.173248000000e+06
46,50,6.519744000000e+06
46,52,5.433120000000e+05
47,37,4.208783040000e+07
47,41,3.507319200000e+06
47,43,0.000000000000e+00
47,47,1.402927680000e+07
47,49,-4.208783040000e+07
47,53,3.507319200000e+06
48,42,-1.100400000000e+09
48,48,1.100400000000e+09
49,43,-3.367026432000e+08
49,47,-4.208783040000e+07
49,49,3.367026432000e+08
49,53,-4.208783040000e+07
50,44,-5.215795200000e+07
50,46,6.519744000000e+06
50,50,5.215795200000e+07
50,52,6.519744000000e+06
51,45,-8.445805200000e+03
51,51,8.445805200000e+03
52,44,-6.519744000000e+06
52,46,5.433120000000e+05
52,50,6.519744000000e+06
52,52,1.086624000000e+06
53,43,4.208783040000e+07
53,47,3.507319200000e+06
