sigma1,sigma2,sigma3
0.000000000000e+00,0.000000000000e+00,-3.679561459139e+02
0.000000000000e+00,0.000000000000e+00,-3.437500000001e+02
0.000000000000e+00,0.000000000000e+00,-3.195438540864e+02
