2.200800000000e+09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.200800000000e+09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,2.693621145600e+09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.683513216000e+08,0.000000000000e+00,-2.693621145600e+09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.683513216000e+08
0.000000000000e+00,0.000000000000e+00,4.172636160000e+08,0.000000000000e+00,-2.607897600000e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.172636160000e+08,0.000000000000e+00,-2.607897600000e+07,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.689161040000e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.689161040000e+04,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.607897600000e+07,0.000000000000e+00,2.173248000000e+06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.607897600000e+07,0.000000000000e+00,1.086624000000e+06,0.000000000000e+00
0.000000000000e+00,1.683513216000e+08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.402927680000e+07,0.000000000000e+00,-1.683513216000e+08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.014638400000e+06
-2.200800000000e+09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.200800000000e+09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,-2.693621145600e+09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.683513216000e+08,0.000000000000e+00,2.693621145600e+09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.683513216000e+08
0.000000000000e+00,0.000000000000e+00,-4.172636160000e+08,0.000000000000e+00,2.607897600000e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.172636160000e+08,0.000000000000e+00,2.607897600000e+07,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.689161040000e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.689161040000e+04,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.607897600000e+07,0.000000000000e+00,1.086624000000e+06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.607897600000e+07,0.000000000000e+00,2.173248000000e+06,0.000000000000e+00
0.000000000000e+00,1.683513216000e+08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.014638400000e+06,0.000000000000e+00,-1.683513216000e+08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.402927680000e+07
