element_id,total_strain_energy
0,5.763534993462e-02
1,4.691735297973e-02
2,3.740794374803e-02
3,2.913151254487e-02
4,2.207992926846e-02
5,1.621458273310e-02
6,1.146909976677e-02
7,7.752744083076e-03
8,4.954494927647e-03
9,2.947805498912e-03
10,1.596041143261e-03
11,7.585973246079e-04
12,2.976973683560e-04
13,8.586997975431e-05
14,1.410653664774e-05
15,6.981566286994e-07
