[Material]
[element_id]  [E]         [G]          [nu]   [rho]     
79            2.1e+11     8.1000e+10   0.3    7850      
80            2.1e+11     8.1000e+10   0.3    7850      
81            2.1e+11     8.1000e+10   0.3    7850      
82            2.1e+11     8.1000e+10   0.3    7850      
83            2.1e+11     8.1000e+10   0.3    7850      
84            2.1e+11     8.1000e+10   0.3    7850      
85            2.1e+11     8.1000e+10   0.3    7850      
86            2.1e+11     8.1000e+10   0.3    7850      
87            2.1e+11     8.1000e+10   0.3    7850      
88            2.1e+11     8.1000e+10   0.3    7850      
89            2.1e+11     8.1000e+10   0.3    7850      
90            2.1e+11     8.1000e+10   0.3    7850      
91            2.1e+11     8.1000e+10   0.3    7850      
92            2.1e+11     8.1000e+10   0.3    7850      
93            2.1e+11     8.1000e+10   0.3    7850      
94            2.1e+11     8.1000e+10   0.3    7850      
95            2.1e+11     8.1000e+10   0.3    7850      
96            2.1e+11     8.1000e+10   0.3    7850      
97            2.1e+11     8.1000e+10   0.3    7850      
98            2.1e+11     8.1000e+10   0.3    7850      
99            2.1e+11     8.1000e+10   0.3    7850      
100           2.1e+11     8.1000e+10   0.3    7850      
101           2.1e+11     8.1000e+10   0.3    7850      
102           2.1e+11     8.1000e+10   0.3    7850      
103           2.1e+11     8.1000e+10   0.3    7850      
104           2.1e+11     8.1000e+10   0.3    7850      
105           2.1e+11     8.1000e+10   0.3    7850      
106           2.1e+11     8.1000e+10   0.3    7850      
107           2.1e+11     8.1000e+10   0.3    7850      
108           2.1e+11     8.1000e+10   0.3    7850      
109           2.1e+11     8.1000e+10   0.3    7850      
110           2.1e+11     8.1000e+10   0.3    7850      
111           2.1e+11     8.1000e+10   0.3    7850      
112           2.1e+11     8.1000e+10   0.3    7850      
113           2.1e+11     8.1000e+10   0.3    7850      
114           2.1e+11     8.1000e+10   0.3    7850      
115           2.1e+11     8.1000e+10   0.3    7850      
116           2.1e+11     8.1000e+10   0.3    7850      
117           2.1e+11     8.1000e+10   0.3    7850      
118           2.1e+11     8.1000e+10   0.3    7850      
119           2.1e+11     8.1000e+10   0.3    7850      
120           2.1e+11     8.1000e+10   0.3    7850      
121           2.1e+11     8.1000e+10   0.3    7850      
122           2.1e+11     8.1000e+10   0.3    7850      
123           2.1e+11     8.1000e+10   0.3    7850      
124           2.1e+11     8.1000e+10   0.3    7850      
125           2.1e+11     8.1000e+10   0.3    7850      
126           2.1e+11     8.1000e+10   0.3    7850      
127           2.1e+11     8.1000e+10   0.3    7850      
128           2.1e+11     8.1000e+10   0.3    7850      
129           2.1e+11     8.1000e+10   0.3    7850      
130           2.1e+11     8.1000e+10   0.3    7850      
131           2.1e+11     8.1000e+10   0.3    7850      
132           2.1e+11     8.1000e+10   0.3    7850      
133           2.1e+11     8.1000e+10   0.3    7850      
134           2.1e+11     8.1000e+10   0.3    7850      
135           2.1e+11     8.1000e+10   0.3    7850      
136           2.1e+11     8.1000e+10   0.3    7850      
137           2.1e+11     8.1000e+10   0.3    7850      
138           2.1e+11     8.1000e+10   0.3    7850      
139           2.1e+11     8.1000e+10   0.3    7850      
140           2.1e+11     8.1000e+10   0.3    7850      
141           2.1e+11     8.1000e+10   0.3    7850      
142           2.1e+11     8.1000e+10   0.3    7850      
143           2.1e+11     8.1000e+10   0.3    7850      
144           2.1e+11     8.1000e+10   0.3    7850      
145           2.1e+11     8.1000e+10   0.3    7850      
146           2.1e+11     8.1000e+10   0.3    7850      
147           2.1e+11     8.1000e+10   0.3    7850      
148           2.1e+11     8.1000e+10   0.3    7850      
149           2.1e+11     8.1000e+10   0.3    7850      
150           2.1e+11     8.1000e+10   0.3    7850      
151           2.1e+11     8.1000e+10   0.3    7850      
152           2.1e+11     8.1000e+10   0.3    7850      
153           2.1e+11     8.1000e+10   0.3    7850      
154           2.1e+11     8.1000e+10   0.3    7850      
155           2.1e+11     8.1000e+10   0.3    7850      
156           2.1e+11     8.1000e+10   0.3    7850      
157           2.1e+11     8.1000e+10   0.3    7850      
158           2.1e+11     8.1000e+10   0.3    7850      
159           2.1e+11     8.1000e+10   0.3    7850      
160           2.1e+11     8.1000e+10   0.3    7850      
161           2.1e+11     8.1000e+10   0.3    7850      
162           2.1e+11     8.1000e+10   0.3    7850      
163           2.1e+11     8.1000e+10   0.3    7850      
164           2.1e+11     8.1000e+10   0.3    7850      
165           2.1e+11     8.1000e+10   0.3    7850      
166           2.1e+11     8.1000e+10   0.3    7850      
167           2.1e+11     8.1000e+10   0.3    7850      
168           2.1e+11     8.1000e+10   0.3    7850      
169           2.1e+11     8.1000e+10   0.3    7850      
170           2.1e+11     8.1000e+10   0.3    7850      
171           2.1e+11     8.1000e+10   0.3    7850      
172           2.1e+11     8.1000e+10   0.3    7850      
173           2.1e+11     8.1000e+10   0.3    7850      
174           2.1e+11     8.1000e+10   0.3    7850      
175           2.1e+11     8.1000e+10   0.3    7850      
176           2.1e+11     8.1000e+10   0.3    7850      
177           2.1e+11     8.1000e+10   0.3    7850      
178           2.1e+11     8.1000e+10   0.3    7850      
179           2.1e+11     8.1000e+10   0.3    7850      
180           2.1e+11     8.1000e+10   0.3    7850      
181           2.1e+11     8.1000e+10   0.3    7850      
182           2.1e+11     8.1000e+10   0.3    7850      
183           2.1e+11     8.1000e+10   0.3    7850      
184           2.1e+11     8.1000e+10   0.3    7850      
185           2.1e+11     8.1000e+10   0.3    7850      
186           2.1e+11     8.1000e+10   0.3    7850      
187           2.1e+11     8.1000e+10   0.3    7850      
188           2.1e+11     8.1000e+10   0.3    7850      
189           2.1e+11     8.1000e+10   0.3    7850      
190           2.1e+11     8.1000e+10   0.3    7850      
191           2.1e+11     8.1000e+10   0.3    7850      
192           2.1e+11     8.1000e+10   0.3    7850      
193           2.1e+11     8.1000e+10   0.3    7850      
194           2.1e+11     8.1000e+10   0.3    7850      
195           2.1e+11     8.1000e+10   0.3    7850      
196           2.1e+11     8.1000e+10   0.3    7850      
197           2.1e+11     8.1000e+10   0.3    7850      
198           2.1e+11     8.1000e+10   0.3    7850      
199           2.1e+11     8.1000e+10   0.3    7850      
200           2.1e+11     8.1000e+10   0.3    7850      
201           2.1e+11     8.1000e+10   0.3    7850      
202           2.1e+11     8.1000e+10   0.3    7850      
203           2.1e+11     8.1000e+10   0.3    7850      
204           2.1e+11     8.1000e+10   0.3    7850      
205           2.1e+11     8.1000e+10   0.3    7850      
206           2.1e+11     8.1000e+10   0.3    7850      
207           2.1e+11     8.1000e+10   0.3    7850      
208           2.1e+11     8.1000e+10   0.3    7850      
209           2.1e+11     8.1000e+10   0.3    7850      
210           2.1e+11     8.1000e+10   0.3    7850      
211           2.1e+11     8.1000e+10   0.3    7850      
212           2.1e+11     8.1000e+10   0.3    7850      
213           2.1e+11     8.1000e+10   0.3    7850      
214           2.1e+11     8.1000e+10   0.3    7850      
215           2.1e+11     8.1000e+10   0.3    7850      
216           2.1e+11     8.1000e+10   0.3    7850      
217           2.1e+11     8.1000e+10   0.3    7850      
218           2.1e+11     8.1000e+10   0.3    7850      
219           2.1e+11     8.1000e+10   0.3    7850      
220           2.1e+11     8.1000e+10   0.3    7850      
221           2.1e+11     8.1000e+10   0.3    7850      
222           2.1e+11     8.1000e+10   0.3    7850      
223           2.1e+11     8.1000e+10   0.3    7850      
224           2.1e+11     8.1000e+10   0.3    7850      
225           2.1e+11     8.1000e+10   0.3    7850      
226           2.1e+11     8.1000e+10   0.3    7850      
227           2.1e+11     8.1000e+10   0.3    7850      
228           2.1e+11     8.1000e+10   0.3    7850      
229           2.1e+11     8.1000e+10   0.3    7850      
230           2.1e+11     8.1000e+10   0.3    7850      
231           2.1e+11     8.1000e+10   0.3    7850      
232           2.1e+11     8.1000e+10   0.3    7850      
233           2.1e+11     8.1000e+10   0.3    7850      
234           2.1e+11     8.1000e+10   0.3    7850      
235           2.1e+11     8.1000e+10   0.3    7850      
236           2.1e+11     8.1000e+10   0.3    7850      
237           2.1e+11     8.1000e+10   0.3    7850      
238           2.1e+11     8.1000e+10   0.3    7850      
239           2.1e+11     8.1000e+10   0.3    7850      
240           2.1e+11     8.1000e+10   0.3    7850      
241           2.1e+11     8.1000e+10   0.3    7850      
242           2.1e+11     8.1000e+10   0.3    7850      
243           2.1e+11     8.1000e+10   0.3    7850      
244           2.1e+11     8.1000e+10   0.3    7850      
245           2.1e+11     8.1000e+10   0.3    7850      
246           2.1e+11     8.1000e+10   0.3    7850      
247           2.1e+11     8.1000e+10   0.3    7850      
248           2.1e+11     8.1000e+10   0.3    7850      
249           2.1e+11     8.1000e+10   0.3    7850      
