Global DOF,Value
0,0.000000000000e+00
1,-5.000000000042e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-5.000000000063e+02
6,0.000000000000e+00
7,0.000000000000e+00
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,3.410605131648e-13
12,0.000000000000e+00
13,-2.728484105319e-12
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,2.273736754432e-13
18,0.000000000000e+00
19,1.364242052659e-12
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,4.547473508865e-13
24,0.000000000000e+00
25,4.547473508865e-13
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,9.094947017729e-13
30,0.000000000000e+00
31,9.094947017729e-13
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,9.094947017729e-13
36,0.000000000000e+00
37,4.547473508865e-12
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,1.364242052659e-12
42,0.000000000000e+00
43,-6.366462912410e-12
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-4.547473508865e-13
48,0.000000000000e+00
49,-4.547473508865e-12
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,9.094947017729e-13
54,0.000000000000e+00
55,5.456968210638e-12
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,0.000000000000e+00
60,0.000000000000e+00
61,1.364242052659e-11
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,9.094947017729e-13
66,0.000000000000e+00
67,-5.456968210638e-12
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,9.094947017729e-13
72,0.000000000000e+00
73,3.637978807092e-12
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,2.728484105319e-12
78,0.000000000000e+00
79,1.455191522837e-11
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-9.094947017729e-13
84,0.000000000000e+00
85,1.455191522837e-11
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,9.094947017729e-13
90,0.000000000000e+00
91,-1.455191522837e-11
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,3.637978807092e-12
96,0.000000000000e+00
97,1.637090463191e-11
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-9.094947017729e-13
102,0.000000000000e+00
103,2.000888343900e-11
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,9.094947017729e-13
108,0.000000000000e+00
109,-5.456968210638e-12
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,1.818989403546e-12
114,0.000000000000e+00
115,2.546585164964e-11
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,3.637978807092e-12
120,0.000000000000e+00
121,2.910383045673e-11
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,1.818989403546e-12
126,0.000000000000e+00
127,3.456079866737e-11
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
