2025-11-16 14:53:35,795 [DEBUG] 📁 Log file created at: C:\Users\s1834431\.cursor\worktrees\fem_model\kXxtc\post_processing\results\job_0001_2025-11-16_14-53-30-592228_pid24328_b6e313df\logs\ModifyGlobalSystem.log (Module: modification, Line: 98)
2025-11-16 14:53:35,795 [INFO] 🔧 Applying stabilized boundary conditions... (Module: modification, Line: 116)
2025-11-16 14:53:35,796 [DEBUG] Computed penalty value: 1.00e+36 (Module: modification, Line: 174)
2025-11-16 14:53:35,796 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: modification, Line: 265)
2025-11-16 14:53:35,797 [DEBUG] Original Non-zeros: 3010
Modified Non-zeros: 2986
Penalty Value: 1.00e+36
Stabilization Factor: 1.00e+26 (Module: modification, Line: 277)
2025-11-16 14:53:35,807 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
 545  547 -4.208783e+13
 397  391 -7.365370e+13
  70   68 -1.629936e+12
 348  354 -1.375500e+10
 147  141 -1.055726e+05
 260  266 -1.140955e+13
 114  108 -1.375500e+10
 296  304 -4.889808e+12
 149  143  1.753660e+13
  11    7  1.052196e+13
 127  127  1.473074e+14
 557  547  3.156587e+13
  99   93 -1.055726e+05
 316  322  2.716560e+12
 115  121 -7.365370e+13
  25   29  1.052196e+13
 369  375 -1.055726e+05
  94   92 -1.629936e+12
 524  532 -4.889808e+12
 457  463 -7.365370e+13
 119  125  1.753660e+13
 113  107  1.753660e+13
 470  478 -4.889808e+12
 563  569  1.753660e+13
 241  247 -7.365370e+13
 215  217 -4.208783e+13
 327  333 -1.055726e+05
 433  433  1.473074e+14
 137  133  1.052196e+13
 267  261 -1.055726e+05
 440  434 -1.140955e+13
 592  598  2.716560e+12
  13   11 -4.208783e+13
  59   59  3.858051e+13
 116  116  2.281910e+13
 163  157 -7.365370e+13
 380  386 -1.140955e+13
 429  429  2.111451e+05
  38   34  6.519744e+12
 518  512 -1.140955e+13
 482  478  6.519744e+12
 235  233 -4.208783e+13
 368  364  6.519744e+12
 364  370  2.716560e+12
 471  477 -1.055726e+05
 292  290 -1.629936e+12
  79   79  1.473074e+14
 301  307 -7.365370e+13
 272  280 -4.889808e+12
 442  448  2.716560e+12
 346  346  5.976432e+12
 226  220  2.716560e+12
 127  121 -7.365370e+13
 472  476  6.519744e+12
 398  400 -1.629936e+12
  28   20 -4.889808e+12
 530  524 -1.140955e+13
 475  473 -4.208783e+13
  30   36 -1.375500e+10
 100   94  2.716560e+12
 488  496 -4.889808e+12
 103  101 -4.208783e+13
  86   92 -1.140955e+13
 205  211 -7.365370e+13
 127  125 -4.208783e+13
 104  110 -1.140955e+13
 124  124  5.976432e+12
 245  235  3.156587e+13
 493  497  1.052196e+13
 374  380 -1.140955e+13
 151  149 -4.208783e+13
 131  125  1.753660e+13
 354  354  2.751000e+10
 184  182 -1.629936e+12
 283  281 -4.208783e+13
 215  209  1.753660e+13
 187  185 -4.208783e+13
 439  449  3.156587e+13
 547  557  3.156587e+13
 559  559  1.473074e+14
 317  307  3.156587e+13
  77   73  1.052196e+13
 387  393 -1.055726e+05
 449  455  1.753660e+13
 455  445  3.156587e+13
 422  424 -1.629936e+12
 596  604 -4.889808e+12
  70   70  5.976432e+12
 541  551  3.156587e+13
 555  555  2.111451e+05
 508  502  2.716560e+12
 236  238 -1.629936e+12
 577  587  3.156587e+13
 412  410 -1.629936e+12
 201  195 -1.055726e+05
 478  472  2.716560e+12
  68   64  6.519744e+12
 543  549 -1.055726e+05
 304  302 -1.629936e+12
 545  535  3.156587e+13
 414  414  2.751000e+10
 577  577  1.473074e+14
 532  538  2.716560e+12
 435  441 -1.055726e+05
 546  546  2.751000e+10
 352  346  2.716560e+12
 421  419 -4.208783e+13
 470  476 -1.140955e+13
 328  326 -1.629936e+12
  30   30  2.751000e+10
 493  491 -4.208783e+13
 188  184  6.519744e+12
 478  470 -4.889808e+12
 359  353  1.753660e+13
 109  119  3.156587e+13
 412  418  2.716560e+12
 275  275  3.858051e+13
 345  339 -1.055726e+05
 487  497  3.156587e+13
 568  568  5.976432e+12
 485  475  3.156587e+13
 330  336 -1.375500e+10
 106  104 -1.629936e+12
 358  362  6.519744e+12
 148  140 -4.889808e+12
 554  562 -4.889808e+12
 175  175  1.473074e+14
 517  521  1.052196e+13
 188  194 -1.140955e+13
 532  530 -1.629936e+12
  52   44 -4.889808e+12
  89   79  3.156587e+13
 400  406  2.716560e+12
 575  581  1.753660e+13
 515  511  1.052196e+13
 225  231 -1.055726e+05
 298  292  2.716560e+12
 479  481 -4.208783e+13
 260  268 -4.889808e+12
 342  342  2.751000e+10
  57   63 -1.055726e+05
 558  558  2.751000e+10
 135  141 -1.055726e+05
 332  326 -1.140955e+13
 183  189 -1.055726e+05
 104   98 -1.140955e+13
  73   79 -7.365370e+13
 166  158 -4.889808e+12
 269  263  1.753660e+13
 251  257  1.753660e+13
 565  571 -7.365370e+13
 267  267  2.111451e+05
 274  266 -4.889808e+12
 346  344 -1.629936e+12
 382  386  6.519744e+12
 361  367 -7.365370e+13
  13   19 -7.365370e+13
 151  155  1.052196e+13
 349  347 -4.208783e+13
 117  123 -1.055726e+05
 137  143  1.753660e+13
 383  389  1.753660e+13
 376  380  6.519744e+12
 445  455  3.156587e+13
 376  370  2.716560e+12
 557  551  1.753660e+13
 221  211  3.156587e+13
 458  452 -1.140955e+13
 543  543  2.111451e+05
 130  134  6.519744e+12
 449  449  3.858051e+13
 255  255  2.111451e+05
 477  471 -1.055726e+05
 482  484 -1.629936e+12
 300  300  2.751000e+10
 443  445 -4.208783e+13
 601  599 -4.208783e+13
  83   73  3.156587e+13
  46   40  2.716560e+12
  11   11  3.858051e+13
 263  253  3.156587e+13
 360  366 -1.375500e+10
 568  562  2.716560e+12
 114  120 -1.375500e+10
 188  196 -4.889808e+12
  66   72 -1.375500e+10
  34   38  6.519744e+12
 337  341  1.052196e+13
 467  461  1.753660e+13
  50   50  2.281910e+13
 333  333  2.111451e+05
 410  410  2.281910e+13
 421  431  3.156587e+13
 151  157 -7.365370e+13
 144  150 -1.375500e+10
 191  193 -4.208783e+13
 269  269  3.858051e+13
 143  143  3.858051e+13
 185  191  1.753660e+13
 347  347  3.858051e+13
 380  374 -1.140955e+13
  43   47  1.052196e+13
 487  491  1.052196e+13
 142  146  6.519744e+12
 358  364  2.716560e+12
 253  257  1.052196e+13
 122  124 -1.629936e+12
 190  194  6.519744e+12
 461  455  1.753660e+13
  65   71  1.753660e+13
 353  353  3.858051e+13
 162  168 -1.375500e+10
 191  185  1.753660e+13
  52   52  5.976432e+12
 112  118  2.716560e+12
 234  228 -1.375500e+10
 571  581  3.156587e+13
  68   62 -1.140955e+13
 586  592  2.716560e+12
 567  573 -1.055726e+05
 443  437  1.753660e+13
