job_id,x,V_fem_N,V_roark_N,error_V_N,M_fem_Nm,M_roark_Nm,error_M_Nm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.949999976427000092e+02,1.000000000000000000e+03,-1.994999997642700009e+03
0.000000000000000000e+00,2.000000000000000042e-02,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.899999976530000367e+02,9.900000000000000000e+02,-1.979999997653000037e+03
0.000000000000000000e+00,4.000000000000000083e-02,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.799999976734000029e+02,9.800000000000000000e+02,-1.959999997673400003e+03
0.000000000000000000e+00,5.999999999999999778e-02,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.699999976939000135e+02,9.700000000000000000e+02,-1.939999997693900013e+03
0.000000000000000000e+00,8.000000000000000167e-02,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.599999977144000241e+02,9.600000000000000000e+02,-1.919999997714400024e+03
0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.499999977349000346e+02,9.500000000000000000e+02,-1.899999997734900035e+03
0.000000000000000000e+00,1.199999999999999956e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.399999977554000452e+02,9.400000000000000000e+02,-1.879999997755400045e+03
0.000000000000000000e+00,1.400000000000000133e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.299999977758000114e+02,9.299999999999998863e+02,-1.859999997775799784e+03
0.000000000000000000e+00,1.600000000000000033e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.199999977961000468e+02,9.200000000000000000e+02,-1.839999997796100160e+03
0.000000000000000000e+00,1.799999999999999933e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-9.099999978165999437e+02,9.100000000000000000e+02,-1.819999997816599944e+03
0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.999999978371999987e+02,9.000000000000000000e+02,-1.799999997837199999e+03
0.000000000000000000e+00,2.200000000000000011e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.899999978575999648e+02,8.900000000000000000e+02,-1.779999997857599965e+03
0.000000000000000000e+00,2.399999999999999911e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.799999978780999754e+02,8.800000000000000000e+02,-1.759999997878099975e+03
0.000000000000000000e+00,2.600000000000000089e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.699999978985999860e+02,8.700000000000000000e+02,-1.739999997898599986e+03
0.000000000000000000e+00,2.800000000000000266e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.599999979189999522e+02,8.600000000000000000e+02,-1.719999997918999952e+03
0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.499999979391999432e+02,8.500000000000000000e+02,-1.699999997939200057e+03
0.000000000000000000e+00,3.200000000000000067e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.399999979594999786e+02,8.400000000000000000e+02,-1.679999997959499979e+03
0.000000000000000000e+00,3.400000000000000244e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.299999979796999696e+02,8.300000000000000000e+02,-1.659999997979699856e+03
0.000000000000000000e+00,3.599999999999999867e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.199999979995000103e+02,8.200000000000001137e+02,-1.639999997999500010e+03
0.000000000000000000e+00,3.800000000000000044e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-8.099999980188999871e+02,8.100000000000000000e+02,-1.619999998018899987e+03
0.000000000000000000e+00,4.000000000000000222e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-7.999999980387999585e+02,8.000000000000000000e+02,-1.599999998038799959e+03
0.000000000000000000e+00,4.199999999999999845e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-7.899999980574999654e+02,7.900000000000000000e+02,-1.579999998057499852e+03
0.000000000000000000e+00,4.400000000000000022e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-7.799999980764999918e+02,7.800000000000000000e+02,-1.559999998076500106e+03
0.000000000000000000e+00,4.600000000000000200e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-7.699999980956999934e+02,7.700000000000000000e+02,-1.539999998095699993e+03
0.000000000000000000e+00,4.799999999999999822e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-7.599999981147999506e+02,7.600000000000000000e+02,-1.519999998114799837e+03
0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-7.499999981336000019e+02,7.500000000000000000e+02,-1.499999998133600002e+03
0.000000000000000000e+00,5.200000000000000178e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-7.399999981526999591e+02,7.400000000000000000e+02,-1.479999998152699845e+03
0.000000000000000000e+00,5.400000000000000355e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-7.299999981723000246e+02,7.300000000000000000e+02,-1.459999998172299911e+03
0.000000000000000000e+00,5.600000000000000533e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-7.199999981917000014e+02,7.200000000000000000e+02,-1.439999998191699888e+03
0.000000000000000000e+00,5.799999999999999600e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-7.099999982140999464e+02,7.100000000000000000e+02,-1.419999998214099833e+03
0.000000000000000000e+00,5.999999999999999778e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-6.999999982361999855e+02,7.000000000000000000e+02,-1.399999998236200099e+03
0.000000000000000000e+00,6.199999999999999956e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-6.899999982591999697e+02,6.900000000000000000e+02,-1.379999998259199856e+03
0.000000000000000000e+00,6.400000000000000133e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-6.799999982811000336e+02,6.799999999999998863e+02,-1.359999998281100034e+03
0.000000000000000000e+00,6.600000000000000311e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-6.699999983039000426e+02,6.699999999999998863e+02,-1.339999998303899929e+03
0.000000000000000000e+00,6.800000000000000488e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-6.599999983266000072e+02,6.599999999999998863e+02,-1.319999998326599780e+03
0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-6.499999983528999792e+02,6.500000000000000000e+02,-1.299999998352900093e+03
0.000000000000000000e+00,7.199999999999999734e-01,0.000000000000000000e+00,5.000000000000000000e+02,-5.000000000000000000e+02,-6.399999983765000025e+02,6.400000000000000000e+02,-1.279999998376500116e+03
