sigma1,sigma2,sigma3
2.845743684842e+03,-9.609375000100e+02,-2.845743684842e+03
5.000000000066e+02,-5.000000000066e+02,-9.609375000100e+02
1.845743684829e+03,-9.609375000100e+02,-1.845743684829e+03
