sigma1,sigma2,sigma3
1.896163415524e+03,-8.142395019658e+02,-1.896163415524e+03
9.023437500095e+02,-8.142395019658e+02,-9.023437500095e+02
9.147591550481e+01,-9.147591550481e+01,-8.142395019658e+02
