sigma1,sigma2,sigma3
7.989583719887e+02,-3.829720966499e+02,-7.989583719887e+02
3.315219480925e+02,-3.315219480925e+02,-3.829720966499e+02
1.359144758036e+02,-1.359144758036e+02,-3.829720966499e+02
