sigma1,sigma2,sigma3
0.000000000000e+00,0.000000000000e+00,-5.697412025602e+02
0.000000000000e+00,0.000000000000e+00,-5.577835083116e+02
0.000000000000e+00,0.000000000000e+00,-5.458258140629e+02
