Row (Local DOF),Column (Local DOF),K_e Value
0,0,8.803200000000e+09
0,6,-8.803200000000e+09
1,1,1.723917533184e+11
1,5,2.693621145600e+09
1,7,-1.723917533184e+11
1,11,2.693621145600e+09
2,2,2.670487142400e+10
2,4,-4.172636160000e+08
2,8,-2.670487142400e+10
2,10,-4.172636160000e+08
3,3,6.756644160000e+04
3,9,-6.756644160000e+04
4,2,-4.172636160000e+08
4,4,8.692992000000e+06
4,8,4.172636160000e+08
4,10,4.346496000000e+06
5,1,2.693621145600e+09
5,5,5.611710720000e+07
5,7,-2.693621145600e+09
5,11,2.805855360000e+07
6,0,-8.803200000000e+09
6,6,8.803200000000e+09
7,1,-1.723917533184e+11
7,5,-2.693621145600e+09
7,7,1.723917533184e+11
7,11,-2.693621145600e+09
8,2,-2.670487142400e+10
8,4,4.172636160000e+08
8,8,2.670487142400e+10
8,10,4.172636160000e+08
9,3,-6.756644160000e+04
9,9,6.756644160000e+04
10,2,-4.172636160000e+08
10,4,4.346496000000e+06
10,8,4.172636160000e+08
10,10,8.692992000000e+06
11,1,2.693621145600e+09
11,5,2.805855360000e+07
11,7,-2.693621145600e+09
11,11,5.611710720000e+07
