Row (Local DOF),Column (Local DOF),K_e Value
0,0,1.100400000000e+09
0,6,-1.100400000000e+09
1,1,3.367026432000e+08
1,5,4.208783040000e+07
1,7,-3.367026432000e+08
1,11,4.208783040000e+07
2,2,5.215795200000e+07
2,4,-6.519744000000e+06
2,8,-5.215795200000e+07
2,10,-6.519744000000e+06
3,3,8.445805200000e+03
3,9,-8.445805200000e+03
4,2,-6.519744000000e+06
4,4,1.086624000000e+06
4,8,6.519744000000e+06
4,10,5.433120000000e+05
5,1,4.208783040000e+07
5,5,7.014638400000e+06
5,7,-4.208783040000e+07
5,11,3.507319200000e+06
6,0,-1.100400000000e+09
6,6,1.100400000000e+09
7,1,-3.367026432000e+08
7,5,-4.208783040000e+07
7,7,3.367026432000e+08
7,11,-4.208783040000e+07
8,2,-5.215795200000e+07
8,4,6.519744000000e+06
8,8,5.215795200000e+07
8,10,6.519744000000e+06
9,3,-8.445805200000e+03
9,9,8.445805200000e+03
10,2,-6.519744000000e+06
10,4,5.433120000000e+05
10,8,6.519744000000e+06
10,10,1.086624000000e+06
11,1,4.208783040000e+07
11,5,3.507319200000e+06
11,7,-4.208783040000e+07
11,11,7.014638400000e+06
