Row (Local DOF),Column (Local DOF),K_e Value
0,0,2.200800000000e+09
0,6,-2.200800000000e+09
1,1,2.693621145600e+09
1,5,1.683513216000e+08
1,7,-2.693621145600e+09
1,11,1.683513216000e+08
2,2,4.172636160000e+08
2,4,-2.607897600000e+07
2,8,-4.172636160000e+08
2,10,-2.607897600000e+07
3,3,1.689161040000e+04
3,9,-1.689161040000e+04
4,2,-2.607897600000e+07
4,4,2.173248000000e+06
4,8,2.607897600000e+07
4,10,1.086624000000e+06
5,1,1.683513216000e+08
5,5,1.402927680000e+07
5,7,-1.683513216000e+08
5,11,7.014638400000e+06
6,0,-2.200800000000e+09
6,6,2.200800000000e+09
7,1,-2.693621145600e+09
7,5,-1.683513216000e+08
7,7,2.693621145600e+09
7,11,-1.683513216000e+08
8,2,-4.172636160000e+08
8,4,2.607897600000e+07
8,8,4.172636160000e+08
8,10,2.607897600000e+07
9,3,-1.689161040000e+04
9,9,1.689161040000e+04
10,2,-2.607897600000e+07
10,4,1.086624000000e+06
10,8,2.607897600000e+07
10,10,2.173248000000e+06
11,1,1.683513216000e+08
11,5,7.014638400000e+06
11,7,-1.683513216000e+08
11,11,1.402927680000e+07
