Row (Local DOF),Column (Local DOF),K_e Value
0,0,3.438750000000e+10
0,6,-3.438750000000e+10
1,1,1.150839112500e+15
1,5,6.576223500000e+14
1,7,-1.150839112500e+15
1,11,4.932167625000e+14
2,2,1.782742500000e+14
2,4,-1.018710000000e+14
2,8,-1.782742500000e+14
2,10,-7.640325000000e+13
3,3,2.639314125000e+05
3,9,-2.639314125000e+05
4,2,-1.018710000000e+14
4,4,5.942475000000e+13
4,8,1.018710000000e+14
4,10,4.244625000000e+13
5,1,6.576223500000e+14
5,5,3.836130375000e+14
5,7,-6.576223500000e+14
5,11,2.740093125000e+14
6,0,-3.438750000000e+10
6,6,3.438750000000e+10
7,1,-1.150839112500e+15
7,5,-6.576223500000e+14
7,7,1.150839112500e+15
7,11,-4.932167625000e+14
8,2,-1.782742500000e+14
8,4,1.018710000000e+14
8,8,1.782742500000e+14
8,10,7.640325000000e+13
9,3,-2.639314125000e+05
9,9,2.639314125000e+05
10,2,-7.640325000000e+13
10,4,4.244625000000e+13
10,8,7.640325000000e+13
10,10,3.395700000000e+13
11,1,4.932167625000e+14
11,5,2.740093125000e+14
11,7,-4.932167625000e+14
11,11,2.192074500000e+14
