sigma1,sigma2,sigma3
1.977063784280e+02,-7.181803385416e+00,-1.977063784280e+02
5.745442708335e+01,-7.181803385416e+00,-5.745442708335e+01
8.279752426116e+01,-7.181803385416e+00,-8.279752426116e+01
