sigma1,sigma2,sigma3
5.333744020224e+02,-2.734375000128e+01,-5.333744020224e+02
5.000000000011e+02,-2.734375000128e+01,-5.000000000011e+02
4.666255979799e+02,-2.734375000128e+01,-4.666255979799e+02
