sigma1,sigma2,sigma3
1.075279701703e+03,-4.851384957712e+02,-1.075279701703e+03
4.831441243559e+02,-4.831441243559e+02,-4.851384957712e+02
1.089914529913e+02,-1.089914529913e+02,-4.851384957712e+02
