# Load Type: PARABOLIC
# Load Formula: q(x) = w * (x/L)^2
[Distributed load]
         [x]          [y]          [z]        [F_x]        [F_y]        [F_z]        [M_x]        [M_y]        [M_z]
    0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    0.068966     0.000000     0.000000     0.000000    -0.594530     0.000000     0.000000     0.000000     0.000000
    0.137931     0.000000     0.000000     0.000000    -2.378121     0.000000     0.000000     0.000000     0.000000
    0.206897     0.000000     0.000000     0.000000    -5.350773     0.000000     0.000000     0.000000     0.000000
    0.275862     0.000000     0.000000     0.000000    -9.512485     0.000000     0.000000     0.000000     0.000000
    0.344828     0.000000     0.000000     0.000000   -14.863258     0.000000     0.000000     0.000000     0.000000
    0.413793     0.000000     0.000000     0.000000   -21.403092     0.000000     0.000000     0.000000     0.000000
    0.482759     0.000000     0.000000     0.000000   -29.131986     0.000000     0.000000     0.000000     0.000000
    0.551724     0.000000     0.000000     0.000000   -38.049941     0.000000     0.000000     0.000000     0.000000
    0.620690     0.000000     0.000000     0.000000   -48.156956     0.000000     0.000000     0.000000     0.000000
    0.689655     0.000000     0.000000     0.000000   -59.453032     0.000000     0.000000     0.000000     0.000000
    0.758621     0.000000     0.000000     0.000000   -71.938169     0.000000     0.000000     0.000000     0.000000
    0.827586     0.000000     0.000000     0.000000   -85.612366     0.000000     0.000000     0.000000     0.000000
    0.896552     0.000000     0.000000     0.000000  -100.475624     0.000000     0.000000     0.000000     0.000000
    0.965517     0.000000     0.000000     0.000000  -116.527943     0.000000     0.000000     0.000000     0.000000
    1.034483     0.000000     0.000000     0.000000  -133.769322     0.000000     0.000000     0.000000     0.000000
    1.103448     0.000000     0.000000     0.000000  -152.199762     0.000000     0.000000     0.000000     0.000000
    1.172414     0.000000     0.000000     0.000000  -171.819263     0.000000     0.000000     0.000000     0.000000
    1.241379     0.000000     0.000000     0.000000  -192.627824     0.000000     0.000000     0.000000     0.000000
    1.310345     0.000000     0.000000     0.000000  -214.625446     0.000000     0.000000     0.000000     0.000000
    1.379310     0.000000     0.000000     0.000000  -237.812128     0.000000     0.000000     0.000000     0.000000
    1.448276     0.000000     0.000000     0.000000  -262.187872     0.000000     0.000000     0.000000     0.000000
    1.517241     0.000000     0.000000     0.000000  -287.752675     0.000000     0.000000     0.000000     0.000000
    1.586207     0.000000     0.000000     0.000000  -314.506540     0.000000     0.000000     0.000000     0.000000
    1.655172     0.000000     0.000000     0.000000  -342.449465     0.000000     0.000000     0.000000     0.000000
    1.724138     0.000000     0.000000     0.000000  -371.581451     0.000000     0.000000     0.000000     0.000000
    1.793103     0.000000     0.000000     0.000000  -401.902497     0.000000     0.000000     0.000000     0.000000
    1.862069     0.000000     0.000000     0.000000  -433.412604     0.000000     0.000000     0.000000     0.000000
    1.931034     0.000000     0.000000     0.000000  -466.111772     0.000000     0.000000     0.000000     0.000000
    2.000000     0.000000     0.000000     0.000000  -500.000000     0.000000     0.000000     0.000000     0.000000
