Row (Local DOF),Column (Local DOF),K_e Value
0,0,1.375500000000e+10
0,6,-1.375500000000e+10
1,1,7.365370320000e+13
1,5,4.208783040000e+13
1,7,-7.365370320000e+13
1,11,3.156587280000e+13
2,2,1.140955200000e+13
2,4,-6.519744000000e+12
2,8,-1.140955200000e+13
2,10,-4.889808000000e+12
3,3,1.055725650000e+05
3,9,-1.055725650000e+05
4,2,-6.519744000000e+12
4,4,3.803184000000e+12
4,8,6.519744000000e+12
4,10,2.716560000000e+12
5,1,4.208783040000e+13
5,5,2.455123440000e+13
5,7,-4.208783040000e+13
5,11,1.753659600000e+13
6,0,-1.375500000000e+10
6,6,1.375500000000e+10
7,1,-7.365370320000e+13
7,5,-4.208783040000e+13
7,7,7.365370320000e+13
7,11,-3.156587280000e+13
8,2,-1.140955200000e+13
8,4,6.519744000000e+12
8,8,1.140955200000e+13
8,10,4.889808000000e+12
9,3,-1.055725650000e+05
9,9,1.055725650000e+05
10,2,-4.889808000000e+12
10,4,2.716560000000e+12
10,8,4.889808000000e+12
10,10,2.173248000000e+12
11,1,3.156587280000e+13
11,5,1.753659600000e+13
11,7,-3.156587280000e+13
11,11,1.402927680000e+13
