sigma1,sigma2,sigma3
3.172920373697e+02,-2.978515624983e+01,-3.172920373697e+02
1.718749999993e+02,-2.978515624983e+01,-1.718749999993e+02
2.645796262856e+01,-2.645796262856e+01,-2.978515624983e+01
