2026-02-26 16:17:37,710 [DEBUG] 📁 Log file created at: c:\Users\s1834431\Programs\fem_model\post_processing\results\job_0004_n32_2026-02-26_16-17-34-322580_pid18316_27cbc03c\logs\ModifyGlobalSystem.log (Module: modification, Line: 134)
2026-02-26 16:17:37,710 [INFO] 🔧 Applying stabilized boundary conditions... (Module: modification, Line: 152)
2026-02-26 16:17:37,710 [DEBUG] Computed penalty value: 1.00e+36 (Module: modification, Line: 210)
2026-02-26 16:17:37,710 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: modification, Line: 325)
2026-02-26 16:17:37,710 [DEBUG] Original Non-zeros: 970
Modified Non-zeros: 946
Penalty Value: 1.00e+36
Stabilization Factor: 1.00e+26 (Module: modification, Line: 337)
2026-02-26 16:17:37,715 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
 181  175 -2.154897e+10
 194  196  1.043159e+08
 138  138  8.803200e+09
  79   83  0.000000e+00
  58   52  2.173248e+06
 173  173  5.611711e+07
 170  172  0.000000e+00
  59   61 -6.734053e+08
   8   14 -3.338109e+09
  13   13  4.309794e+10
 188  182 -3.338109e+09
 145  139 -2.154897e+10
 170  164 -3.338109e+09
 134  136  0.000000e+00
  53   43  6.734053e+08
  49   59  6.734053e+08
 140  148 -1.043159e+08
  98  106 -1.043159e+08
  79   89  6.734053e+08
 146  148  0.000000e+00
 120  114 -4.401600e+09
 137  127  6.734053e+08
 167  157  6.734053e+08
  83   73  6.734053e+08
  22   22  8.692992e+06
  47   49 -6.734053e+08
  35   31  0.000000e+00
  70   68  0.000000e+00
  83   89  1.402928e+07
  76   70  2.173248e+06
 131  121  6.734053e+08
 161  157  0.000000e+00
 182  178  1.043159e+08
  90   84 -4.401600e+09
  27   21 -3.378322e+04
 150  150  8.803200e+09
  56   62 -3.338109e+09
 155  145  6.734053e+08
  80   80  6.676218e+09
  59   53  1.402928e+07
 184  184  8.692992e+06
  66   72 -4.401600e+09
 106  100  2.173248e+06
  63   69 -3.378322e+04
  80   76  1.043159e+08
 178  178  8.692992e+06
 152  158 -3.338109e+09
 195  189 -3.378322e+04
 121  121  4.309794e+10
 138  144 -4.401600e+09
 159  159  6.756644e+04
 156  156  8.803200e+09
 122  118  1.043159e+08
  77   73  0.000000e+00
  88   94  2.173248e+06
 132  126 -4.401600e+09
